variable_name,variable_description,variable_source,form_location,variable_coverage,form_scope,variable_datatype
F9_04_TRANSAC_PY_X,Prior excess benefit transaction?,"PZ;
PC",F990-PC-PART-04-LINE-25B,2020-2022,PZ-501C3,character
F9_04_TRANSFER_EXEMPT_ORG_X,Did the organization make any transfers to an exempt non-charitable related organization?,PZ,"F990-EZ-PART-06-LINE-49A;
F990-PC-PART-04-LINE-36",2020-2022,PZ-501C3,character
F9_05_170C_FORM_1098C_FILED_X,Form 1098-C filed?,PC,F990-PC-PART-05-LINE-07H,2020-2022,PZ-501C3,character
F9_05_170C_FORM_8282_REQ_X,Form 8282 property disposed of?,PC,F990-PC-PART-05-LINE-07C,2020-2022,PZ-501C3,character
F9_05_170C_FORM_8899_FILED_X,Form 8899 filed?,PC,F990-PC-PART-05-LINE-07G,2020-2022,PZ-501C3,character
F9_05_170C_FUNDS_FOR_PREMIUM_X,Funds to pay premiums?,PC,F990-PC-PART-05-LINE-07E,2020-2022,PZ-501C3,character
F9_05_170C_NUM_FORM_8282_FILED_X,Number of 8282s filed,PC,F990-PC-PART-05-LINE-07D,2020-2022,PZ-501C3,integer
F9_05_170C_PREMIUM_PAID_X,Premiums paid?,PC,F990-PC-PART-05-LINE-07F,2020-2022,PZ-501C3,character
F9_05_170C_QUID_PRO_QUO_CONTR_X,Quid pro quo contributions?,PC,F990-PC-PART-05-LINE-07A,2020-2022,PZ-501C3,character
F9_05_170C_QUID_PRO_QUO_NOTIFY_X,Quid pro quo disclosure?,PC,F990-PC-PART-05-LINE-07B,2020-2022,PZ-501C3,character
F9_05_4947_FORM_990_FILED_1041_X,Filed 990 in lieu of 1041?,PZ,"F990-EZ-PART-05-LINE-43;
F990-PC-PART-05-LINE-12A",2020-2022,PZ-501C3,character
F9_05_4947_TAX_EXEMPT_INT_AMT,Indicates section 4947(a)(1) nonexempt charitable trusts filing Form 990 in lieu of Form 1041,PZ,"F990-EZ-PART-05-LINE-43;
F990-PC-PART-05-LINE-12B",2020-2022,PZ-501C3,integer
F9_05_501C12_GRO_INCOME_MEMB,Gross income from members,PC,F990-PC-PART-05-LINE-11A,1989-2022,PZ-501C3,integer;integer64
F9_05_501C12_GRO_INCOME_OTH,"Gross income, other sources",PC,F990-PC-PART-05-LINE-11B,1989-2022,PZ-501C3,integer;integer64
F9_05_501C29_LIC_HEALTH_PLAN_X,Is the organization licensed to issue qualified health plans in more than one state?,PC,F990-PC-PART-05-LINE-13A,2020-2022,PZ-501C3,character
F9_05_501C29_RESERVE_MAINT_AMT,Reserves maintained amount,PC,F990-PC-PART-05-LINE-13C,2020-2022,PZ-501C3,integer
F9_05_501C29_STATE_RESERVE_AMT,State required reserves amount,PC,F990-PC-PART-05-LINE-13B,2020-2022,PZ-501C3,integer
F9_05_501C7_GRO_RCPT_PUB_USE,"501(c)(7) orgs: Gross receipts, included on line 9, for public use of club facilities",PZ,"F990-EZ-PART-05-LINE-39B;
F990-PC-PART-05-LINE-10B",1989-2022,PZ-501C3,integer
F9_05_501C7_INITIATION_FEES,501(c)(7) orgs: Initiation fees and capital contributions included on line 9,PZ,"F990-EZ-PART-05-LINE-39A;
F990-PC-PART-05-LINE-10A",1989-2022,PZ-501C3,integer
F9_05_COMPLY_BACKUP_WITHHOLD_X,Compliance with backup witholding?,PC,F990-PC-PART-05-LINE-01C,2020-2022,PZ-501C3,character
F9_05_DAF_DIST_DONOR_X,DAFs - Distribution to donor?,PC,F990-PC-PART-05-LINE-09B,2020-2022,PZ-501C3,character
F9_05_DAF_EXCESS_BIZ_HOLDING_X,Donor advised fund have excess business holdings?,PC,F990-PC-PART-05-LINE-08,2020-2022,PZ-501C3,character
F9_05_DAF_TAXABLE_DIST_X,DAFs - Taxable distributions?,PC,F990-PC-PART-05-LINE-09A,2020-2022,PZ-501C3,character
F9_05_EMPL_TAX_RETURN_FILED_X,Employment tax returns filed?,PC,F990-PC-PART-05-LINE-02B,2020-2022,PZ-501C3,character
F9_05_FRGN_FIN_ACC_X,Foreign financial account?,PZ,"F990-EZ-PART-05-LINE-42B;
F990-PC-PART-05-LINE-04A",2020-2022,PZ-501C3,character
F9_05_NONDEDUCT_CONTR_NOTIFY_X,Non-deduct. disclosure?,PC,F990-PC-PART-05-LINE-06B,2020-2022,PZ-501C3,character
F9_05_NONDEDUCT_CONTR_X,Non-deductible contributions?,PC,F990-PC-PART-05-LINE-06A,2020-2022,PZ-501C3,character
F9_05_NUM_EMPL,Number of employees,PC,F990-PC-PART-05-LINE-02A,2006-2013; 2020-2022,PZ-501C3,integer
F9_05_NUM_FORM_1096_BOX_3,Number forms transmitted with 1096,PC,F990-PC-PART-05-LINE-01A,2020-2022,PZ-501C3,integer
F9_05_NUM_FORM_W2G,Number W-2Gs included in 1a,PC,F990-PC-PART-05-LINE-01B,2020-2022,PZ-501C3,integer
F9_05_PTST_FORM_8886T_FILED_X,Form 8886-T filed?,PC,F990-PC-PART-05-LINE-05C,2020-2022,PZ-501C3,character
F9_05_PTST_PARTY_NOTIFY_X,Taxable party notification?,PC,F990-PC-PART-05-LINE-05B,2020-2022,PZ-501C3,character
F9_05_PTST_X,Prohibited tax shelter transaction?,PZ,"F990-EZ-PART-05-LINE-40E;
F990-PC-PART-05-LINE-05A",2020-2022,PZ-501C3,character
F9_05_TANNING_FORM_720_FILED_X,Form 720 filed and taxes paid on indoor tanning services?,PZ,"F990-EZ-PART-05-LINE-44D;
F990-PC-PART-05-LINE-14B",2020-2022,PZ-501C3,character
F9_05_TANNING_SVC_PROV_X,Payments received for indoor tanning services?,PZ,"F990-EZ-PART-05-LINE-44C;
F990-PC-PART-05-LINE-14A",2020-2022,PZ-501C3,character
F9_05_UBIZ_FORM_990T_FILED_X,Form 990-T filed?,"PZ;
PC","F990-EZ-PART-05-LINE-35B;
F990-PC-PART-05-LINE-03B",2020-2022,PZ-501C3,character
F9_05_UBIZ_IMCOME_OVER_LIMIT_X,Unrelated business income?,"PZ;
PC","F990-EZ-PART-05-LINE-35A;
F990-PC-PART-05-LINE-03A",1998-2022,PZ-501C3,character
F9_06_ACT_NOT_PREVIOUSLY_REP_X,Did the organization engage in any activity not previously reported to the IRS?,EZ,F990-EZ-PART-05-LINE-33,2020-2022,PZ-501C3,character
F9_06_GVRN_CHANGE_DOC_X,Were any changes made in the organizing or governing documents but not reported to the IRS?,PZ,"F990-EZ-PART-05-LINE-34;
F990-PC-PART-06-SECTION-A-LINE-04",2020-2022,PZ-501C3,character
F9_06_POLI_EXP,Direct or indirect political expenditures.,EZ,F990-EZ-PART-05-LINE-37A,1989-2010; 2020-2022,PZ-501C3,integer;integer64
F9_06_POLI_FORM1120_POL_FILED_X,Did the organization file Form 1120-POL for this year?,EZ,F990-EZ-PART-05-LINE-37B,2020-2022,PZ-501C3,character
F9_07_COMP_DTK_COMP_ORG_TOT,"Total, column D (F990-PC-PART-07-SECTION-A: F990-EZ-PART-04-PART-06-LINE-50-CONBINED)",PC,F990-PC-PART-07-SECTION-A-LINE-01D-COL-D,2020-2022,PZ-501C3,numeric
F9_07_COMP_DTK_COMP_OTH_TOT,"Total, column F (F990-PC-PART-07-SECTION-A: F990-EZ-PART-04-PART-06-LINE-50-CONBINED)",PC,F990-PC-PART-07-SECTION-A-LINE-01D-COL-F,2020-2022,PZ-501C3,numeric
F9_07_COMP_DTK_COMP_RLTD_TOT,"Total, column E (F990-PC-PART-07-SECTION-A: F990-EZ-PART-04-PART-06-LINE-50-CONBINED)",PC,F990-PC-PART-07-SECTION-A-LINE-01D-COL-E,2020-2022,PZ-501C3,numeric
F9_07_COMP_DTK_NUM_GT_100K,Number individuals greater than $100K (F990-PC-PART-07-SECTION-A: F990-EZ-PART-04-PART-06-LINE-50-CONBINED),PC,F990-PC-PART-07-SECTION-A-LINE-02,2020-2022,PZ-501C3,integer
F9_07_COMP_KONTR_NUM_GT_100K,Total number of independent contractors who received 100K+ from org,PZ,"F990-EZ-PART-06-LINE-51D;
F990-PC-PART-07-SECTION-B-LINE-02",2020-2022,PZ-501C3,integer
F9_08_REV_CONTR_GOVT_GRANT,Government grants (contributions),PC,F990-PC-PART-08-LINE-01E,1995-2013,PZ-501C3,integer;integer64
F9_08_REV_CONTR_MEMBSHIP_DUE,Membership Dues,PZ,"F990-EZ-PART-01-LINE-03;
F990-PC-PART-08-LINE-01B",1989-2010; 2020-2022,PZ-501C3,integer;numeric
F9_08_REV_CONTR_TOT,Total contributions,PC,F990-PC-PART-08-LINE-01H-COL-A,1989-2022,PZ-501C3,integer;integer64;numeric
F9_08_REV_MISC_BIZCODE,Other Revenue Misc - Business code,PC,F990-PC-PART-08-LINE-11-ABC-COL-BIZCODE,2020-2022,PZ-501C3,integer
F9_08_REV_MISC_OTH_TOT,Miscellaneous Revenue - Total revenue,PC,F990-PC-PART-08-LINE-11D-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_08_REV_MISC_TOT,Other Revenue Misc - Total revenue,PC,F990-PC-PART-08-LINE-11-ABC-COL-A,2020-2022,PZ-501C3,numeric
F9_08_REV_MISC_TOT_TOT,Other revenue - current year,PZ,"F990-EZ-PART-01-LINE-08;
F990-PC-PART-08-LINE-11E-COL-A",1989-2022,PZ-501C3,integer;integer64;numeric
F9_08_REV_OTH_EVNT_DIRECT_EXP,Special events direct expenses (F990-PC-PART-08-LINE-08B-09B-COMBINED: F990-EZ-PART-01-LINE-06C),PZ,F990-EZ-PART-01-LINE-06C,1989-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_EVNT_NET_TOT,Special events net income (or loss) (F990-PC-PART-08-LINE-08C-09C-COL-A-COMBINED: F990-EZ-PART-01-LINE-06D),PZ,F990-EZ-PART-01-LINE-06D,1989-2019,PZ-501C3,integer;numeric
F9_08_REV_OTH_FUNDR_DIRECT_EXP,Direct expenses,PZ,F990-PC-PART-08-LINE-08B,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_FUNDR_EVNT_1,IRS990 - 8a-1,PZ,"F990-EZ-PART-01-LINE-06B-1;
F990-PC-PART-08-LINE-08A-1",2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_FUNDR_NET_TOT,Net Income From Fundraising Events - Total revenue,PZ,F990-PC-PART-08-LINE-08C-COL-A,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_GAMING,Gross income from gaming activities,PZ,"F990-EZ-PART-01-LINE-06A;
F990-PC-PART-08-LINE-09A",1995-2022; 1989,PZ-501C3,integer;numeric
F9_08_REV_OTH_GAMING_DIRECT_EXP,Direct expenses,PZ,F990-PC-PART-08-LINE-09B,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_GAMING_NET_TOT,Net Income From Gaming - Total revenue,PZ,F990-PC-PART-08-LINE-09C-COL-A,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_INVEST_BOND_TOT,Income From Invest Bond Proceeds - Total revenue,PC,F990-PC-PART-08-LINE-04-COL-A,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_INVEST_INCOME_TOT,Invest income,PZ,"F990-EZ-PART-01-LINE-04;
F990-PC-PART-08-LINE-03-COL-A",1989-2022,PZ-501C3,integer64;integer;numeric
F9_08_REV_OTH_INV_COST_GOODS,Less: cost of goods sold,PZ,"F990-EZ-PART-01-LINE-07B;
F990-PC-PART-08-LINE-10B",1989-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_INV_GRO_SALE,gross sales of inventory,PZ,"F990-EZ-PART-01-LINE-07A;
F990-PC-PART-08-LINE-10A",1995-2022,PZ-501C3,integer;numeric
