"YEAR","Total Grants","Median Grant Amount","Number of Grants"
1987,118070583,56697129.5,1452
1988,676484503,392532496.5,4255
1989,10082338653,1916351477,32351
1990,8932478024,2076757529,38006
1991,9629433477,2321516060.5,39639
1992,18065366252,2410387901.5,40296
1993,2276458320,966098432.5,10910
1994,11250306928,2329807166,38685
1995,12943073453,2448990576.5,45276
1996,14676247489,2477884872.5,48269
1997,17625133599,2585903456,52469
1998,19198241595,3172494949,58668
1999,25621820070,3273956069.5,57027
2000,26717245239,3475347705.5,63262
2001,24151113826,3303345868,64523
2002,26932482150,3658579927,69244
2003,28844871477,3816641245.5,73333
2004,30281986143,3748132963.5,75513
2005,39795822887,4252504210,79939
2006,36164798323,4016219600.5,78827
2007,44618098534,4425777414,81498
2008,48489461339,4801628373.5,85076
2009,45587670872,5037799655.5,90836
2010,45853991806,6590479006.5,92290
2011,49761664087,5036946306,88863
2012,50779319193,6777034948.5,87659
2013,56261636378,6957290426.5,88895
2014,60745225247,7035694919.5,92684
2015,66007201479,6889258918,93792
2016,2580400783,1024815067,10861
2017,65240454,59249638.5,559
2018,2492736993,2183455753,3018
2019,84840434607,1.0093786436e+10,99551
2020,93720543899,8946212545.5,109961
2021,103142665774,9530526252.5,108060
2022,3216341203,1308585037.5,10225
