"Census State","Census County","Metro/Micro Area","Census Region"
"MN","Wilkin County","Wahpeton, ND-MN","Midwest"
"MN","Winona County","Winona, MN","Midwest"
"MN","Wright County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Yellow Medicine County",,"Midwest"
"MO","Adair County","Kirksville, MO","Midwest"
"MO","Andrew County","St. Joseph, MO-KS","Midwest"
"MO","Atchison County",,"Midwest"
"MO","Audrain County","Mexico, MO","Midwest"
"MO","Barry County",,"Midwest"
"MO","Barton County",,"Midwest"
"MO","Bates County","Kansas City, MO-KS","Midwest"
"MO","Benton County",,"Midwest"
"MO","Bollinger County","Cape Girardeau, MO-IL","Midwest"
"MO","Boone County","Columbia, MO","Midwest"
"MO","Buchanan County","St. Joseph, MO-KS","Midwest"
"MO","Butler County","Poplar Bluff, MO","Midwest"
"MO","Caldwell County","Kansas City, MO-KS","Midwest"
"MO","Callaway County","Jefferson City, MO","Midwest"
"MO","Camden County",,"Midwest"
"MO","Cape Girardeau",,"Midwest"
"MO","Cape Girardeau County","Cape Girardeau, MO-IL","Midwest"
"MO","Carroll County",,"Midwest"
"MO","Carter",,"Midwest"
"MO","Carter County",,"Midwest"
"MO","Cass County","Kansas City, MO-KS","Midwest"
"MO","Cedar County",,"Midwest"
"MO","Chariton County",,"Midwest"
"MO","Christian County","Springfield, MO","Midwest"
"MO","City of St. Louis",,"Midwest"
"MO","Clark County",,"Midwest"
"MO","Clay County","Kansas City, MO-KS","Midwest"
"MO","Clinton County","Kansas City, MO-KS","Midwest"
"MO","Cole County","Jefferson City, MO","Midwest"
"MO","Cooper County","Columbia, MO","Midwest"
"MO","Crawford County",,"Midwest"
"MO","Dade County",,"Midwest"
"MO","Dallas County","Springfield, MO","Midwest"
"MO","Daviess County",,"Midwest"
"MO","DeKalb County","St. Joseph, MO-KS","Midwest"
"MO","Dent County",,"Midwest"
"MO","Douglas County",,"Midwest"
"MO","Dunklin County","Kennett, MO","Midwest"
"MO","Franklin County","St. Louis, MO-IL","Midwest"
"MO","Gasconade County",,"Midwest"
"MO","Gentry County",,"Midwest"
"MO","Greene County","Springfield, MO","Midwest"
"MO","Grundy County",,"Midwest"
"MO","Harrison County",,"Midwest"
"MO","Henry County",,"Midwest"
"MO","Hickory County",,"Midwest"
"MO","Holt County",,"Midwest"
"MO","Howard County","Columbia, MO","Midwest"
"MO","Howell County","West Plains, MO","Midwest"
"MO","Iron County",,"Midwest"
"MO","Jackson County","Kansas City, MO-KS","Midwest"
"MO","Jasper County","Joplin, MO-KS","Midwest"
"MO","Jefferson",,"Midwest"
"MO","Jefferson County","St. Louis, MO-IL","Midwest"
"MO","Johnson County","Warrensburg, MO","Midwest"
"MO","Knox County",,"Midwest"
"MO","Laclede County","Lebanon, MO","Midwest"
"MO","Lafayette County","Kansas City, MO-KS","Midwest"
"MO","Lawrence County",,"Midwest"
"MO","Lewis County","Quincy, IL-MO","Midwest"
"MO","Lincoln County","St. Louis, MO-IL","Midwest"
"MO","Linn County",,"Midwest"
"MO","Livingston County",,"Midwest"
"MO","Macon County",,"Midwest"
"MO","Madison",,"Midwest"
"MO","Madison County",,"Midwest"
"MO","Maries County",,"Midwest"
"MO","Marion County","Hannibal, MO","Midwest"
"MO","McDonald County",,"Midwest"
"MO","Mercer County",,"Midwest"
"MO","Miller County",,"Midwest"
"MO","Mississippi County","Sikeston, MO","Midwest"
"MO","Moniteau County","Jefferson City, MO","Midwest"
"MO","Monroe County",,"Midwest"
"MO","Montgomery",,"Midwest"
"MO","Montgomery County",,"Midwest"
"MO","Morgan County",,"Midwest"
"MO","New Madrid County",,"Midwest"
"MO","Newton County","Joplin, MO-KS","Midwest"
"MO","Nodaway County","Maryville, MO","Midwest"
"MO","Oregon County",,"Midwest"
"MO","Osage County","Jefferson City, MO","Midwest"
"MO","Ozark County",,"Midwest"
"MO","Pemiscot County",,"Midwest"
"MO","Perry County",,"Midwest"
"MO","Pettis County","Sedalia, MO","Midwest"
"MO","Phelps County","Rolla, MO","Midwest"
"MO","Pike County",,"Midwest"
"MO","Platte County","Kansas City, MO-KS","Midwest"
"MO","Polk County","Springfield, MO","Midwest"
"MO","Pulaski County","Fort Leonard Wood, MO","Midwest"
"MO","Putnam County",,"Midwest"
"MO","Ralls County","Hannibal, MO","Midwest"
"MO","Randolph County","Moberly, MO","Midwest"
"MO","Ray County","Kansas City, MO-KS","Midwest"
"MO","Reynolds County",,"Midwest"
"MO","Ripley",,"Midwest"
"MO","Ripley County",,"Midwest"
"MO","Saline County","Marshall, MO","Midwest"
"MO","Schuyler County","Kirksville, MO","Midwest"
"MO","Scotland County",,"Midwest"
"MO","Scott County","Sikeston, MO","Midwest"
"MO","Shannon County",,"Midwest"
"MO","Shelby",,"Midwest"
"MO","Shelby County",,"Midwest"
"MO","St Charles",,"Midwest"
"MO","St Louis",,"Midwest"
"MO","St. Charles",,"Midwest"
"MO","St. Charles County","St. Louis, MO-IL","Midwest"
"MO","St. Clair County",,"Midwest"
"MO","St. Francois County","Farmington, MO","Midwest"
"MO","St. Louis",,"Midwest"
"MO","St. Louis County","St. Louis, MO-IL","Midwest"
"MO","St. Louis city","St. Louis, MO-IL","Midwest"
"MO","Ste Genevieve",,"Midwest"
"MO","Ste. Genevieve",,"Midwest"
"MO","Ste. Genevieve County",,"Midwest"
"MO","Stoddard County",,"Midwest"
"MO","Stone County",,"Midwest"
"MO","Sullivan County",,"Midwest"
"MO","Taney County","Branson, MO","Midwest"
"MO","Texas County",,"Midwest"
"MO","Vernon County",,"Midwest"
"MO","Warren County","St. Louis, MO-IL","Midwest"
"MO","Washington County",,"Midwest"
"MO","Wayne",,"Midwest"
"MO","Wayne County",,"Midwest"
"MO","Webster County","Springfield, MO","Midwest"
"MO","Worth County",,"Midwest"
"MO","Wright County",,"Midwest"
"ND","Adams County",,"Midwest"
"ND","Barnes County",,"Midwest"
"ND","Benson County",,"Midwest"
"ND","Billings County","Dickinson, ND","Midwest"
"ND","Bottineau County",,"Midwest"
"ND","Bowman County",,"Midwest"
"ND","Burke County",,"Midwest"
"ND","Burleigh County","Bismarck, ND","Midwest"
"ND","Cass County","Fargo, ND-MN","Midwest"
"ND","Cavalier County",,"Midwest"
"ND","Dickey County",,"Midwest"
"ND","Divide County",,"Midwest"
"ND","Dunn County","Dickinson, ND","Midwest"
"ND","Eddy County",,"Midwest"
"ND","Emmons County",,"Midwest"
"ND","Foster County",,"Midwest"
"ND","Golden Valley County",,"Midwest"
"ND","Grand Forks",,"Midwest"
"ND","Grand Forks County","Grand Forks, ND-MN","Midwest"
"ND","Grant County",,"Midwest"
"ND","Griggs County",,"Midwest"
"ND","Hettinger County",,"Midwest"
"ND","Kidder County",,"Midwest"
"ND","LaMoure County",,"Midwest"
"ND","Logan County",,"Midwest"
"ND","McHenry County","Minot, ND","Midwest"
"ND","McIntosh County",,"Midwest"
"ND","McKenzie County",,"Midwest"
"ND","McLean County",,"Midwest"
"ND","Mercer County",,"Midwest"
"ND","Morton County","Bismarck, ND","Midwest"
"ND","Mountrail County",,"Midwest"
"ND","Nelson County",,"Midwest"
"ND","Oliver County","Bismarck, ND","Midwest"
"ND","Pembina County",,"Midwest"
"ND","Pierce County",,"Midwest"
"ND","Ramsey County",,"Midwest"
"ND","Ransom County",,"Midwest"
"ND","Renville County","Minot, ND","Midwest"
"ND","Richland County","Wahpeton, ND-MN","Midwest"
"ND","Rolette County",,"Midwest"
"ND","Sargent County",,"Midwest"
"ND","Sheridan County",,"Midwest"
"ND","Sioux County",,"Midwest"
"ND","Slope County",,"Midwest"
"ND","Stark County","Dickinson, ND","Midwest"
"ND","Steele County",,"Midwest"
"ND","Stutsman County","Jamestown, ND","Midwest"
"ND","Towner County",,"Midwest"
"ND","Traill County",,"Midwest"
"ND","Walsh County",,"Midwest"
"ND","Ward County","Minot, ND","Midwest"
"ND","Wells County",,"Midwest"
"ND","Williams County","Williston, ND","Midwest"
"NE","Adams County","Hastings, NE","Midwest"
"NE","Antelope County",,"Midwest"
"NE","Arthur County",,"Midwest"
"NE","Banner County","Scottsbluff, NE","Midwest"
"NE","Blaine County",,"Midwest"
"NE","Boone County",,"Midwest"
"NE","Box Butte County",,"Midwest"
"NE","Boyd County",,"Midwest"
"NE","Brown County",,"Midwest"
"NE","Buffalo County","Kearney, NE","Midwest"
"NE","Burt County",,"Midwest"
"NE","Butler County",,"Midwest"
"NE","Cass County","Omaha, NE-IA","Midwest"
"NE","Cedar County",,"Midwest"
"NE","Chase County",,"Midwest"
"NE","Cherry County",,"Midwest"
"NE","Cheyenne County",,"Midwest"
"NE","Clay County","Hastings, NE","Midwest"
"NE","Colfax County","Columbus, NE","Midwest"
"NE","Cuming County",,"Midwest"
"NE","Custer County",,"Midwest"
"NE","Dakota County","Sioux City, IA-NE-SD","Midwest"
"NE","Dawes County",,"Midwest"
"NE","Dawson County","Lexington, NE","Midwest"
"NE","Deuel County",,"Midwest"
"NE","Dixon County",,"Midwest"
"NE","Dodge County","Fremont, NE","Midwest"
"NE","Douglas County","Omaha, NE-IA","Midwest"
"NE","Dundy County",,"Midwest"
"NE","Fillmore County",,"Midwest"
"NE","Franklin County",,"Midwest"
"NE","Frontier County",,"Midwest"
"NE","Furnas County",,"Midwest"
"NE","Gage County","Beatrice, NE","Midwest"
"NE","Garden County",,"Midwest"
"NE","Garfield County",,"Midwest"
"NE","Gosper County","Lexington, NE","Midwest"
"NE","Grant County",,"Midwest"
"NE","Greeley County",,"Midwest"
"NE","Hall County","Grand Island, NE","Midwest"
"NE","Hamilton County",,"Midwest"
"NE","Harlan County",,"Midwest"
"NE","Hayes County",,"Midwest"
"NE","Hitchcock County",,"Midwest"
"NE","Holt County",,"Midwest"
"NE","Hooker County",,"Midwest"
"NE","Howard County","Grand Island, NE","Midwest"
"NE","Jefferson County",,"Midwest"
"NE","Johnson County",,"Midwest"
"NE","Kearney County","Kearney, NE","Midwest"
"NE","Keith County",,"Midwest"
"NE","Keya Paha County",,"Midwest"
"NE","Kimball County",,"Midwest"
"NE","Knox County",,"Midwest"
"NE","Lancaster County","Lincoln, NE","Midwest"
"NE","Lincoln",,"Midwest"
"NE","Lincoln County","North Platte, NE","Midwest"
"NE","Logan County","North Platte, NE","Midwest"
"NE","Loup County",,"Midwest"
"NE","Madison County","Norfolk, NE","Midwest"
"NE","McPherson County",,"Midwest"
"NE","Merrick County","Grand Island, NE","Midwest"
"NE","Morrill County",,"Midwest"
"NE","Nance County",,"Midwest"
"NE","Nemaha County",,"Midwest"
"NE","Nuckolls County",,"Midwest"
"NE","Otoe County",,"Midwest"
"NE","Pawnee County",,"Midwest"
"NE","Perkins County",,"Midwest"
"NE","Phelps County",,"Midwest"
"NE","Pierce County","Norfolk, NE","Midwest"
"NE","Platte County","Columbus, NE","Midwest"
"NE","Polk County",,"Midwest"
"NE","Red Willow County",,"Midwest"
"NE","Richardson County",,"Midwest"
"NE","Rock County",,"Midwest"
"NE","Saline County",,"Midwest"
"NE","Sarpy County","Omaha, NE-IA","Midwest"
"NE","Saunders County","Omaha, NE-IA","Midwest"
"NE","Scotts Bluff County","Scottsbluff, NE","Midwest"
"NE","Seward County","Lincoln, NE","Midwest"
"NE","Sheridan County",,"Midwest"
"NE","Sherman County",,"Midwest"
"NE","Sioux County",,"Midwest"
"NE","Stanton County","Norfolk, NE","Midwest"
"NE","Thayer County",,"Midwest"
"NE","Thomas County",,"Midwest"
"NE","Thurston County",,"Midwest"
"NE","Valley County",,"Midwest"
"NE","Washington",,"Midwest"
"NE","Washington County","Omaha, NE-IA","Midwest"
"NE","Wayne County",,"Midwest"
"NE","Webster County","Hastings, NE","Midwest"
"NE","Wheeler County",,"Midwest"
"NE","York County",,"Midwest"
"OH","Adams County",,"Midwest"
"OH","Allen County","Lima, OH","Midwest"
"OH","Ashland County","Ashland, OH","Midwest"
"OH","Ashtabula",,"Midwest"
"OH","Ashtabula County","Cleveland, OH","Midwest"
"OH","Athens",,"Midwest"
"OH","Athens County","Athens, OH","Midwest"
"OH","Auglaize County","Wapakoneta, OH","Midwest"
"OH","Belmont",,"Midwest"
"OH","Belmont County","Wheeling, WV-OH","Midwest"
"OH","Brown County","Cincinnati, OH-KY-IN","Midwest"
"OH","Butler County","Cincinnati, OH-KY-IN","Midwest"
"OH","Carroll County","Canton-Massillon, OH","Midwest"
"OH","Champaign County","Urbana, OH","Midwest"
"OH","Clark County","Springfield, OH","Midwest"
"OH","Clermont County","Cincinnati, OH-KY-IN","Midwest"
"OH","Clinton County","Wilmington, OH","Midwest"
"OH","Columbiana County","Salem, OH","Midwest"
"OH","Coshocton County","Coshocton, OH","Midwest"
"OH","Crawford County","Bucyrus, OH","Midwest"
"OH","Cuyahoga County","Cleveland, OH","Midwest"
"OH","Darke County","Greenville, OH","Midwest"
"OH","Defiance County","Defiance, OH","Midwest"
"OH","Delaware",,"Midwest"
"OH","Delaware County","Columbus, OH","Midwest"
"OH","Erie County","Sandusky, OH","Midwest"
"OH","Fairfield County","Columbus, OH","Midwest"
"OH","Fayette County","Washington Court House, OH","Midwest"
"OH","Franklin County","Columbus, OH","Midwest"
"OH","Fulton County","Toledo, OH","Midwest"
"OH","Gallia County","Gallipolis, OH","Midwest"
"OH","Geauga County","Cleveland, OH","Midwest"
"OH","Greene County","Dayton-Kettering-Beavercreek, OH","Midwest"
"OH","Guernsey County","Cambridge, OH","Midwest"
"OH","Hamilton",,"Midwest"
"OH","Hamilton County","Cincinnati, OH-KY-IN","Midwest"
"OH","Hancock County","Findlay, OH","Midwest"
"OH","Hardin County",,"Midwest"
"OH","Harrison County",,"Midwest"
"OH","Henry County",,"Midwest"
"OH","Highland",,"Midwest"
"OH","Highland County",,"Midwest"
"OH","Hocking County","Columbus, OH","Midwest"
"OH","Holmes County",,"Midwest"
"OH","Huron County","Norwalk, OH","Midwest"
"OH","Jackson",,"Midwest"
"OH","Jackson County",,"Midwest"
"OH","Jefferson County","Weirton-Steubenville, WV-OH","Midwest"
"OH","Knox County","Mount Vernon, OH","Midwest"
"OH","Lake County","Cleveland, OH","Midwest"
"OH","Lawrence County","Huntington-Ashland, WV-KY-OH","Midwest"
"OH","Licking County","Columbus, OH","Midwest"
"OH","Logan County","Bellefontaine, OH","Midwest"
"OH","Lorain",,"Midwest"
"OH","Lorain County","Cleveland, OH","Midwest"
"OH","Lucas County","Toledo, OH","Midwest"
"OH","Madison County","Columbus, OH","Midwest"
"OH","Mahoning County","Youngstown-Warren, OH","Midwest"
"OH","Marion County","Marion, OH","Midwest"
"OH","Medina County","Cleveland, OH","Midwest"
"OH","Meigs County",,"Midwest"
"OH","Mercer County","Celina, OH","Midwest"
"OH","Miami County","Dayton-Kettering-Beavercreek, OH","Midwest"
"OH","Monroe County",,"Midwest"
"OH","Montgomery County","Dayton-Kettering-Beavercreek, OH","Midwest"
"OH","Morgan County",,"Midwest"
"OH","Morrow County","Columbus, OH","Midwest"
"OH","Muskingum County","Zanesville, OH","Midwest"
"OH","Noble County",,"Midwest"
"OH","Ottawa County","Sandusky, OH","Midwest"
"OH","Paulding County",,"Midwest"
"OH","Perry County","Columbus, OH","Midwest"
"OH","Pickaway County","Columbus, OH","Midwest"
"OH","Pike County",,"Midwest"
"OH","Portage County","Akron, OH","Midwest"
"OH","Preble County",,"Midwest"
"OH","Putnam County",,"Midwest"
"OH","Richland County","Mansfield, OH","Midwest"
"OH","Ross County","Chillicothe, OH","Midwest"
"OH","Sandusky County","Fremont, OH","Midwest"
"OH","Scioto County","Portsmouth, OH","Midwest"
"OH","Seneca County","Tiffin, OH","Midwest"
"OH","Shelby",,"Midwest"
"OH","Shelby County","Sidney, OH","Midwest"
"OH","Stark",,"Midwest"
"OH","Stark County","Canton-Massillon, OH","Midwest"
"OH","Summit County","Akron, OH","Midwest"
"OH","Trumbull County","Youngstown-Warren, OH","Midwest"
"OH","Tuscarawas County","New Philadelphia-Dover, OH","Midwest"
"OH","Union County","Columbus, OH","Midwest"
"OH","Van Wert",,"Midwest"
"OH","Van Wert County","Van Wert, OH","Midwest"
"OH","Vinton County",,"Midwest"
"OH","Warren County","Cincinnati, OH-KY-IN","Midwest"
"OH","Washington County","Marietta, OH","Midwest"
"OH","Wayne County","Wooster, OH","Midwest"
"OH","Williams County",,"Midwest"
"OH","Wood County","Toledo, OH","Midwest"
"OH","Wyandot County",,"Midwest"
"SD","Aurora County",,"Midwest"
"SD","Beadle County","Huron, SD","Midwest"
"SD","Bennett County",,"Midwest"
"SD","Bon Homme County",,"Midwest"
"SD","Brookings County","Brookings, SD","Midwest"
"SD","Brown County","Aberdeen, SD","Midwest"
"SD","Brule County",,"Midwest"
"SD","Buffalo County",,"Midwest"
"SD","Butte County",,"Midwest"
"SD","Campbell County",,"Midwest"
"SD","Charles Mix County",,"Midwest"
"SD","Clark County",,"Midwest"
"SD","Clay County","Vermillion, SD","Midwest"
"SD","Codington County","Watertown, SD","Midwest"
"SD","Corson County",,"Midwest"
"SD","Custer County","Rapid City, SD","Midwest"
"SD","Davison County","Mitchell, SD","Midwest"
"SD","Day County",,"Midwest"
"SD","Deuel County",,"Midwest"
"SD","Dewey County",,"Midwest"
"SD","Douglas County",,"Midwest"
"SD","Edmunds County","Aberdeen, SD","Midwest"
"SD","Fall River County",,"Midwest"
"SD","Faulk County",,"Midwest"
"SD","Grant County",,"Midwest"
"SD","Gregory County",,"Midwest"
"SD","Haakon County",,"Midwest"
"SD","Hamlin County",,"Midwest"
"SD","Hand County",,"Midwest"
"SD","Hanson County","Mitchell, SD","Midwest"
"SD","Harding County",,"Midwest"
"SD","Hughes County","Pierre, SD","Midwest"
"SD","Hutchinson County",,"Midwest"
"SD","Hyde County",,"Midwest"
"SD","Jackson County",,"Midwest"
"SD","Jerauld County",,"Midwest"
"SD","Jones County",,"Midwest"
"SD","Kingsbury County",,"Midwest"
"SD","Lake County",,"Midwest"
"SD","Lawrence County","Spearfish, SD","Midwest"
"SD","Lincoln County","Sioux Falls, SD-MN","Midwest"
"SD","Lyman County",,"Midwest"
"SD","Marshall County",,"Midwest"
"SD","McCook County","Sioux Falls, SD-MN","Midwest"
"SD","McPherson County",,"Midwest"
"SD","Meade County","Rapid City, SD","Midwest"
"SD","Mellette County",,"Midwest"
"SD","Miner County",,"Midwest"
"SD","Minnehaha County","Sioux Falls, SD-MN","Midwest"
"SD","Moody County",,"Midwest"
"SD","Oglala Lakota County",,"Midwest"
"SD","Pennington County","Rapid City, SD","Midwest"
"SD","Perkins County",,"Midwest"
"SD","Potter County",,"Midwest"
"SD","Roberts County",,"Midwest"
"SD","Sanborn County","Mitchell, SD","Midwest"
"SD","Spink County",,"Midwest"
"SD","Stanley County","Pierre, SD","Midwest"
"SD","Sully County",,"Midwest"
"SD","Todd County",,"Midwest"
"SD","Tripp County",,"Midwest"
"SD","Turner County","Sioux Falls, SD-MN","Midwest"
"SD","Union County","Sioux City, IA-NE-SD","Midwest"
"SD","Walworth County",,"Midwest"
"SD","Yankton",,"Midwest"
"SD","Yankton County","Yankton, SD","Midwest"
"SD","Ziebach County",,"Midwest"
"WI","Adams County",,"Midwest"
"WI","Ashland County",,"Midwest"
"WI","Barron County","Rice Lake, WI","Midwest"
"WI","Bayfield County",,"Midwest"
"WI","Brown County","Green Bay, WI","Midwest"
"WI","Buffalo County",,"Midwest"
"WI","Burnett County",,"Midwest"
"WI","Calumet County","Appleton, WI","Midwest"
"WI","Chippewa County","Eau Claire, WI","Midwest"
"WI","Clark County",,"Midwest"
"WI","Columbia County","Madison, WI","Midwest"
"WI","Crawford County",,"Midwest"
"WI","Dane County","Madison, WI","Midwest"
"WI","Dodge County","Beaver Dam, WI","Midwest"
"WI","Door County",,"Midwest"
"WI","Douglas County","Duluth, MN-WI","Midwest"
"WI","Dunn County","Menomonie, WI","Midwest"
"WI","Eau Claire",,"Midwest"
"WI","Eau Claire County","Eau Claire, WI","Midwest"
"WI","Florence County","Iron Mountain, MI-WI","Midwest"
"WI","Fond du Lac County","Fond du Lac, WI","Midwest"
"WI","Forest County",,"Midwest"
"WI","Grant County","Platteville, WI","Midwest"
"WI","Green County","Madison, WI","Midwest"
"WI","Green Lake County",,"Midwest"
"WI","Iowa County","Madison, WI","Midwest"
"WI","Iron County",,"Midwest"
"WI","Jackson County",,"Midwest"
"WI","Jefferson County","Watertown-Fort Atkinson, WI","Midwest"
"WI","Juneau County",,"Midwest"
"WI","Kenosha",,"Midwest"
"WI","Kenosha County","Kenosha, WI","Midwest"
"WI","Kewaunee",,"Midwest"
"WI","Kewaunee County","Green Bay, WI","Midwest"
"WI","La Crosse County","La Crosse-Onalaska, WI-MN","Midwest"
"WI","Lafayette County",,"Midwest"
"WI","Langlade County",,"Midwest"
"WI","Lincoln County",,"Midwest"
"WI","Manitowoc County","Manitowoc, WI","Midwest"
"WI","Marathon County","Wausau, WI","Midwest"
"WI","Marinette County","Marinette, WI-MI","Midwest"
"WI","Marquette County",,"Midwest"
"WI","Menominee County","Shawano, WI","Midwest"
"WI","Milwaukee",,"Midwest"
"WI","Milwaukee County","Milwaukee-Waukesha, WI","Midwest"
"WI","Monroe County","Sparta, WI","Midwest"
"WI","Oconto County","Green Bay, WI","Midwest"
"WI","Oneida County",,"Midwest"
"WI","Outagamie County","Appleton, WI","Midwest"
"WI","Ozaukee County","Milwaukee-Waukesha, WI","Midwest"
"WI","Pepin County",,"Midwest"
"WI","Pierce County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"WI","Polk",,"Midwest"
"WI","Polk County",,"Midwest"
"WI","Portage County","Stevens Point-Plover, WI","Midwest"
"WI","Price County",,"Midwest"
"WI","Racine",,"Midwest"
"WI","Racine County","Racine-Mount Pleasant, WI","Midwest"
"WI","Richland County",,"Midwest"
"WI","Rock County","Janesville-Beloit, WI","Midwest"
"WI","Rusk County",,"Midwest"
"WI","Sauk County","Baraboo, WI","Midwest"
"WI","Sawyer County",,"Midwest"
"WI","Shawano County","Shawano, WI","Midwest"
"WI","Sheboygan",,"Midwest"
"WI","Sheboygan County","Sheboygan, WI","Midwest"
"WI","St. Croix County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"WI","Taylor County",,"Midwest"
"WI","Trempealeau County",,"Midwest"
"WI","Vernon County","La Crosse-Onalaska, WI-MN","Midwest"
"WI","Vilas County",,"Midwest"
"WI","Walworth County","Whitewater-Elkhorn, WI","Midwest"
"WI","Washburn County",,"Midwest"
"WI","Washington County","Milwaukee-Waukesha, WI","Midwest"
"WI","Waukesha County","Milwaukee-Waukesha, WI","Midwest"
"WI","Waupaca County",,"Midwest"
"WI","Waushara County",,"Midwest"
"WI","Winnebago County","Oshkosh-Neenah, WI","Midwest"
"WI","Wood",,"Midwest"
"WI","Wood County","Wisconsin Rapids-Marshfield, WI","Midwest"
"CT","Fairfield",,"Northeast"
"CT","Fairfield County",,"Northeast"
"CT","Hartford",,"Northeast"
"CT","Hartford County",,"Northeast"
"CT","Litchfield County",,"Northeast"
"CT","Middlesex County",,"Northeast"
"CT","New Haven",,"Northeast"
"CT","New Haven County",,"Northeast"
"CT","New London County",,"Northeast"
"CT","Tolland County",,"Northeast"
"CT","Westchester County",,"Northeast"
"CT","Windham County",,"Northeast"
"MA","Barnstable County","Barnstable Town, MA","Northeast"
"MA","Berkshire County","Pittsfield, MA","Northeast"
"MA","Bristol County","Providence-Warwick, RI-MA","Northeast"
"MA","Dukes County","Vineyard Haven, MA","Northeast"
"MA","Essex County","Boston-Cambridge-Newton, MA-NH","Northeast"
"MA","Franklin County","Greenfield, MA","Northeast"
"MA","Hampden County","Springfield, MA","Northeast"
"MA","Hampshire",,"Northeast"
"MA","Hampshire County","Amherst Town-Northampton, MA","Northeast"
"MA","Middlesex",,"Northeast"
"MA","Middlesex County","Boston-Cambridge-Newton, MA-NH","Northeast"
"MA","Nantucket County","Nantucket, MA","Northeast"
"MA","Norfolk",,"Northeast"
"MA","Norfolk County","Boston-Cambridge-Newton, MA-NH","Northeast"
"MA","Plymouth County","Boston-Cambridge-Newton, MA-NH","Northeast"
"MA","Suffolk County","Boston-Cambridge-Newton, MA-NH","Northeast"
"MA","Town and County of Nantucket",,"Northeast"
"MA","Worcester",,"Northeast"
"MA","Worcester County","Worcester, MA","Northeast"
"ME","Androscoggin County","Lewiston-Auburn, ME","Northeast"
"ME","Aroostook County",,"Northeast"
"ME","Cumberland",,"Northeast"
"ME","Cumberland County","Portland-South Portland, ME","Northeast"
"ME","Franklin County",,"Northeast"
"ME","Hancock County",,"Northeast"
"ME","Kennebec",,"Northeast"
"ME","Kennebec County","Augusta-Waterville, ME","Northeast"
"ME","Knox County",,"Northeast"
"ME","Lincoln County",,"Northeast"
"ME","Oxford County",,"Northeast"
"ME","Penobscot County","Bangor, ME","Northeast"
"ME","Piscataquis County",,"Northeast"
"ME","Sagadahoc County","Portland-South Portland, ME","Northeast"
"ME","Somerset County",,"Northeast"
"ME","Waldo",,"Northeast"
"ME","Waldo County",,"Northeast"
"ME","Washington County",,"Northeast"
"ME","York County","Portland-South Portland, ME","Northeast"
"NH","Belknap County","Laconia, NH","Northeast"
"NH","Carroll County",,"Northeast"
"NH","Cheshire County","Keene, NH","Northeast"
"NH","Coos County",,"Northeast"
"NH","Grafton County","Lebanon-Claremont, NH-VT","Northeast"
"NH","Hillsborough County","Manchester-Nashua, NH","Northeast"
"NH","Merrimack County","Concord, NH","Northeast"
"NH","Rockingham County","Boston-Cambridge-Newton, MA-NH","Northeast"
"NH","Strafford",,"Northeast"
"NH","Strafford County","Boston-Cambridge-Newton, MA-NH","Northeast"
"NH","Sullivan County","Lebanon-Claremont, NH-VT","Northeast"
"NJ","Atlantic",,"Northeast"
"NJ","Atlantic County","Atlantic City-Hammonton, NJ","Northeast"
"NJ","Bergen County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Burlington",,"Northeast"
"NJ","Burlington County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Northeast"
"NJ","Camden",,"Northeast"
"NJ","Camden County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Northeast"
"NJ","Cape May",,"Northeast"
"NJ","Cape May County","Atlantic City-Hammonton, NJ","Northeast"
"NJ","Cumberland County","Vineland, NJ","Northeast"
"NJ","Essex County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Gloucester",,"Northeast"
"NJ","Gloucester County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Northeast"
"NJ","Hudson",,"Northeast"
"NJ","Hudson County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Hunterdon County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Mercer County","Trenton-Princeton, NJ","Northeast"
"NJ","Middlesex",,"Northeast"
"NJ","Middlesex County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Monmouth",,"Northeast"
"NJ","Monmouth County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Morris County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Ocean County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Passaic County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Salem",,"Northeast"
"NJ","Salem County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Northeast"
"NJ","Somerset",,"Northeast"
"NJ","Somerset County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Sussex County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Union",,"Northeast"
"NJ","Union County","New York-Newark-Jersey City, NY-NJ","Northeast"
"NJ","Warren County","Allentown-Bethlehem-Easton, PA-NJ","Northeast"
"NY","Albany",,"Northeast"
"NY","Albany County","Albany-Schenectady-Troy, NY","Northeast"
"NY","Allegany County",,"Northeast"
