"Census State","Census County","Metro/Micro Area","Census Region"
"IN","Lake County","Chicago-Naperville-Elgin, IL-IN","Midwest"
"IN","Laporte",,"Midwest"
"IN","Lawrence County","Bedford, IN","Midwest"
"IN","Madison County","Indianapolis-Carmel-Greenwood, IN","Midwest"
"IN","Marion County","Indianapolis-Carmel-Greenwood, IN","Midwest"
"IN","Marshall County","Plymouth, IN","Midwest"
"IN","Martin County",,"Midwest"
"IN","Miami County","Peru, IN","Midwest"
"IN","Monroe County","Bloomington, IN","Midwest"
"IN","Montgomery County","Crawfordsville, IN","Midwest"
"IN","Morgan County","Indianapolis-Carmel-Greenwood, IN","Midwest"
"IN","Newton County","Chicago-Naperville-Elgin, IL-IN","Midwest"
"IN","Noble County","Kendallville, IN","Midwest"
"IN","Ohio County","Cincinnati, OH-KY-IN","Midwest"
"IN","Orange County",,"Midwest"
"IN","Owen County","Bloomington, IN","Midwest"
"IN","Parke County",,"Midwest"
"IN","Perry County",,"Midwest"
"IN","Pike County",,"Midwest"
"IN","Porter County","Chicago-Naperville-Elgin, IL-IN","Midwest"
"IN","Posey County","Evansville, IN","Midwest"
"IN","Pulaski County",,"Midwest"
"IN","Putnam County","Greencastle, IN","Midwest"
"IN","Randolph County",,"Midwest"
"IN","Ripley County",,"Midwest"
"IN","Rush County",,"Midwest"
"IN","Scott County",,"Midwest"
"IN","Shelby County","Indianapolis-Carmel-Greenwood, IN","Midwest"
"IN","Spencer County",,"Midwest"
"IN","St. Joseph County","South Bend-Mishawaka, IN-MI","Midwest"
"IN","Starke County",,"Midwest"
"IN","Steuben County","Angola, IN","Midwest"
"IN","Sullivan",,"Midwest"
"IN","Sullivan County","Terre Haute, IN","Midwest"
"IN","Switzerland County",,"Midwest"
"IN","Tippecanoe County","Lafayette-West Lafayette, IN","Midwest"
"IN","Tipton County","Indianapolis-Carmel-Greenwood, IN","Midwest"
"IN","Union County",,"Midwest"
"IN","Vanderburgh County","Evansville, IN","Midwest"
"IN","Vermillion County","Terre Haute, IN","Midwest"
"IN","Vigo County","Terre Haute, IN","Midwest"
"IN","Wabash County","Wabash, IN","Midwest"
"IN","Warren County","Lafayette-West Lafayette, IN","Midwest"
"IN","Warrick County","Evansville, IN","Midwest"
"IN","Washington County","Louisville/Jefferson County, KY-IN","Midwest"
"IN","Wayne County","Richmond, IN","Midwest"
"IN","Wells County","Fort Wayne, IN","Midwest"
"IN","White County","Monticello, IN","Midwest"
"IN","Whitley",,"Midwest"
"IN","Whitley County","Fort Wayne, IN","Midwest"
"KS","Allen County",,"Midwest"
"KS","Anderson County",,"Midwest"
"KS","Atchison County","Atchison, KS","Midwest"
"KS","Barber County",,"Midwest"
"KS","Barton County","Great Bend, KS","Midwest"
"KS","Bourbon County",,"Midwest"
"KS","Brown County",,"Midwest"
"KS","Butler County","Wichita, KS","Midwest"
"KS","Chase County","Emporia, KS","Midwest"
"KS","Chautauqua County",,"Midwest"
"KS","Cherokee County","Joplin, MO-KS","Midwest"
"KS","Cheyenne County",,"Midwest"
"KS","Clark County",,"Midwest"
"KS","Clay County",,"Midwest"
"KS","Cloud County",,"Midwest"
"KS","Coffey County",,"Midwest"
"KS","Comanche County",,"Midwest"
"KS","Cowley County","Arkansas City-Winfield, KS","Midwest"
"KS","Crawford County","Pittsburg, KS","Midwest"
"KS","Decatur County",,"Midwest"
"KS","Dickinson County",,"Midwest"
"KS","Doniphan County","St. Joseph, MO-KS","Midwest"
"KS","Douglas County","Lawrence, KS","Midwest"
"KS","Edwards County",,"Midwest"
"KS","Elk County",,"Midwest"
"KS","Ellis County","Hays, KS","Midwest"
"KS","Ellsworth County",,"Midwest"
"KS","Finney County","Garden City, KS","Midwest"
"KS","Ford County","Dodge City, KS","Midwest"
"KS","Franklin County","Ottawa, KS","Midwest"
"KS","Geary County","Manhattan, KS","Midwest"
"KS","Gove County",,"Midwest"
"KS","Graham County",,"Midwest"
"KS","Grant County",,"Midwest"
"KS","Gray County",,"Midwest"
"KS","Greeley County",,"Midwest"
"KS","Greenwood County",,"Midwest"
"KS","Hamilton County",,"Midwest"
"KS","Harper County",,"Midwest"
"KS","Harvey County","Wichita, KS","Midwest"
"KS","Haskell County",,"Midwest"
"KS","Hodgeman County",,"Midwest"
"KS","Jackson County","Topeka, KS","Midwest"
"KS","Jefferson County","Topeka, KS","Midwest"
"KS","Jewell County",,"Midwest"
"KS","Johnson County","Kansas City, MO-KS","Midwest"
"KS","Kearny County",,"Midwest"
"KS","Kingman County",,"Midwest"
"KS","Kiowa County",,"Midwest"
"KS","Labette County",,"Midwest"
"KS","Lane County",,"Midwest"
"KS","Leavenworth County","Kansas City, MO-KS","Midwest"
"KS","Lincoln County",,"Midwest"
"KS","Linn County","Kansas City, MO-KS","Midwest"
"KS","Logan County",,"Midwest"
"KS","Lyon County","Emporia, KS","Midwest"
"KS","Marion County",,"Midwest"
"KS","Marshall County",,"Midwest"
"KS","McPherson County","McPherson, KS","Midwest"
"KS","Meade County",,"Midwest"
"KS","Miami County","Kansas City, MO-KS","Midwest"
"KS","Mitchell County",,"Midwest"
"KS","Montgomery County",,"Midwest"
"KS","Morris County",,"Midwest"
"KS","Morton County",,"Midwest"
"KS","Nemaha County",,"Midwest"
"KS","Neosho County",,"Midwest"
"KS","Ness County",,"Midwest"
"KS","Norton",,"Midwest"
"KS","Norton County",,"Midwest"
"KS","Osage County","Topeka, KS","Midwest"
"KS","Osborne County",,"Midwest"
"KS","Ottawa County","Salina, KS","Midwest"
"KS","Pawnee County",,"Midwest"
"KS","Phillips County",,"Midwest"
"KS","Pottawatomie County","Manhattan, KS","Midwest"
"KS","Pratt County",,"Midwest"
"KS","Rawlins County",,"Midwest"
"KS","Reno County","Hutchinson, KS","Midwest"
"KS","Republic County",,"Midwest"
"KS","Rice County",,"Midwest"
"KS","Riley County","Manhattan, KS","Midwest"
"KS","Rooks County",,"Midwest"
"KS","Rush County",,"Midwest"
"KS","Russell County",,"Midwest"
"KS","Saline County","Salina, KS","Midwest"
"KS","Scott County",,"Midwest"
"KS","Sedgwick",,"Midwest"
"KS","Sedgwick County","Wichita, KS","Midwest"
"KS","Seward County","Liberal, KS","Midwest"
"KS","Shawnee County","Topeka, KS","Midwest"
"KS","Sheridan County",,"Midwest"
"KS","Sherman County",,"Midwest"
"KS","Smith County",,"Midwest"
"KS","Stafford County",,"Midwest"
"KS","Stanton County",,"Midwest"
"KS","Stevens County",,"Midwest"
"KS","Sumner County","Wichita, KS","Midwest"
"KS","Thomas County",,"Midwest"
"KS","Trego County",,"Midwest"
"KS","Wabaunsee County","Topeka, KS","Midwest"
"KS","Wallace County",,"Midwest"
"KS","Washington County",,"Midwest"
"KS","Wichita",,"Midwest"
"KS","Wichita County",,"Midwest"
"KS","Wilson County",,"Midwest"
"KS","Woodson County",,"Midwest"
"KS","Wyandotte",,"Midwest"
"KS","Wyandotte County","Kansas City, MO-KS","Midwest"
"MI","Alcona County",,"Midwest"
"MI","Alger County",,"Midwest"
"MI","Allegan County","Holland, MI","Midwest"
"MI","Alpena",,"Midwest"
"MI","Alpena County","Alpena, MI","Midwest"
"MI","Antrim County",,"Midwest"
"MI","Arenac County",,"Midwest"
"MI","Baraga County",,"Midwest"
"MI","Barry County","Grand Rapids-Wyoming-Kentwood, MI","Midwest"
"MI","Bay County","Bay City, MI","Midwest"
"MI","Benzie County","Traverse City, MI","Midwest"
"MI","Berrien County","Niles, MI","Midwest"
"MI","Branch County","Coldwater, MI","Midwest"
"MI","Calhoun County","Battle Creek, MI","Midwest"
"MI","Cass County","South Bend-Mishawaka, IN-MI","Midwest"
"MI","Charlevoix County",,"Midwest"
"MI","Cheboygan",,"Midwest"
"MI","Cheboygan County",,"Midwest"
"MI","Chippewa County","Sault Ste. Marie, MI","Midwest"
"MI","Clare County",,"Midwest"
"MI","Clinton County","Lansing-East Lansing, MI","Midwest"
"MI","Crawford County",,"Midwest"
"MI","Delta County","Escanaba, MI","Midwest"
"MI","Dickinson County","Iron Mountain, MI-WI","Midwest"
"MI","Eaton County","Lansing-East Lansing, MI","Midwest"
"MI","Emmet County","Petoskey, MI","Midwest"
"MI","Genesee",,"Midwest"
"MI","Genesee County","Flint, MI","Midwest"
"MI","Gladwin County",,"Midwest"
"MI","Gogebic County",,"Midwest"
"MI","Grand Traverse County","Traverse City, MI","Midwest"
"MI","Gratiot County","Alma, MI","Midwest"
"MI","Hillsdale County","Hillsdale, MI","Midwest"
"MI","Houghton",,"Midwest"
"MI","Houghton County","Houghton, MI","Midwest"
"MI","Huron County",,"Midwest"
"MI","Ingham County","Lansing-East Lansing, MI","Midwest"
"MI","Ionia County","Grand Rapids-Wyoming-Kentwood, MI","Midwest"
"MI","Iosco County",,"Midwest"
"MI","Iron",,"Midwest"
"MI","Iron County",,"Midwest"
"MI","Isabella County","Mount Pleasant, MI","Midwest"
"MI","Jackson",,"Midwest"
"MI","Jackson County","Jackson, MI","Midwest"
"MI","Kalamazoo",,"Midwest"
"MI","Kalamazoo County","Kalamazoo-Portage, MI","Midwest"
"MI","Kalkaska County","Traverse City, MI","Midwest"
"MI","Kent County","Grand Rapids-Wyoming-Kentwood, MI","Midwest"
"MI","Keweenaw County","Houghton, MI","Midwest"
"MI","Lake County",,"Midwest"
"MI","Lapeer",,"Midwest"
"MI","Lapeer County","Detroit-Warren-Dearborn, MI","Midwest"
"MI","Leelanau County","Traverse City, MI","Midwest"
"MI","Lenawee County","Adrian, MI","Midwest"
"MI","Livingston County","Detroit-Warren-Dearborn, MI","Midwest"
"MI","Luce County",,"Midwest"
"MI","Mackinac",,"Midwest"
"MI","Mackinac County",,"Midwest"
"MI","Macomb County","Detroit-Warren-Dearborn, MI","Midwest"
"MI","Manistee County",,"Midwest"
"MI","Marquette County","Marquette, MI","Midwest"
"MI","Mason County","Ludington, MI","Midwest"
"MI","Mecosta County","Big Rapids, MI","Midwest"
"MI","Menominee",,"Midwest"
"MI","Menominee County","Marinette, WI-MI","Midwest"
"MI","Midland",,"Midwest"
"MI","Midland County","Midland, MI","Midwest"
"MI","Missaukee County","Cadillac, MI","Midwest"
"MI","Monroe County","Monroe, MI","Midwest"
"MI","Montcalm County","Grand Rapids-Wyoming-Kentwood, MI","Midwest"
"MI","Montmorency County",,"Midwest"
"MI","Muskegon",,"Midwest"
"MI","Muskegon County","Muskegon-Norton Shores, MI","Midwest"
"MI","Newaygo",,"Midwest"
"MI","Newaygo County",,"Midwest"
"MI","Oakland",,"Midwest"
"MI","Oakland County","Detroit-Warren-Dearborn, MI","Midwest"
"MI","Oceana County",,"Midwest"
"MI","Ogemaw County",,"Midwest"
"MI","Ontonagon County",,"Midwest"
"MI","Osceola County",,"Midwest"
"MI","Oscoda County",,"Midwest"
"MI","Otsego County",,"Midwest"
"MI","Ottawa County","Grand Rapids-Wyoming-Kentwood, MI","Midwest"
"MI","Presque Isle County",,"Midwest"
"MI","Roscommon County",,"Midwest"
"MI","Saginaw",,"Midwest"
"MI","Saginaw County","Saginaw, MI","Midwest"
"MI","Sanilac County",,"Midwest"
"MI","Schoolcraft County",,"Midwest"
"MI","Shiawassee County","Owosso, MI","Midwest"
"MI","St. Clair County","Detroit-Warren-Dearborn, MI","Midwest"
"MI","St. Joseph County","Sturgis, MI","Midwest"
"MI","Tuscola County",,"Midwest"
"MI","Van Buren County",,"Midwest"
"MI","Washtenaw County","Ann Arbor, MI","Midwest"
"MI","Wayne",,"Midwest"
"MI","Wayne County","Detroit-Warren-Dearborn, MI","Midwest"
"MI","Wexford County","Cadillac, MI","Midwest"
"MN","Aitkin County",,"Midwest"
"MN","Anoka County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Becker County","Detroit Lakes, MN","Midwest"
"MN","Beltrami County","Bemidji, MN","Midwest"
"MN","Benton County","St. Cloud, MN","Midwest"
"MN","Big Stone County",,"Midwest"
"MN","Blue Earth County","Mankato, MN","Midwest"
"MN","Brown County","New Ulm, MN","Midwest"
"MN","Carlton County","Duluth, MN-WI","Midwest"
"MN","Carver",,"Midwest"
"MN","Carver County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Cass County","Brainerd, MN","Midwest"
"MN","Chippewa County",,"Midwest"
"MN","Chisago County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Clay County","Fargo, ND-MN","Midwest"
"MN","Clearwater County",,"Midwest"
"MN","Cook County",,"Midwest"
"MN","Cottonwood County",,"Midwest"
"MN","Crow Wing County","Brainerd, MN","Midwest"
"MN","Dakota County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Dodge County","Rochester, MN","Midwest"
"MN","Douglas County","Alexandria, MN","Midwest"
"MN","Faribault County",,"Midwest"
"MN","Fillmore County","Rochester, MN","Midwest"
"MN","Freeborn County","Albert Lea, MN","Midwest"
"MN","Goodhue County","Red Wing, MN","Midwest"
"MN","Grant County",,"Midwest"
"MN","Hennepin County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Houston County","La Crosse-Onalaska, WI-MN","Midwest"
"MN","Hubbard County",,"Midwest"
"MN","Isanti County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Itasca County","Grand Rapids, MN","Midwest"
"MN","Jackson County",,"Midwest"
"MN","Kanabec County",,"Midwest"
